date,close,company,price_change,volume_change,high_low_ratio,target,headline,news_count_log,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded
2023-05-02,165.98,Apple,-0.0062,-0.19400141293276527,0.0,0,Apple market update,0.6931471805599453,17.695541243146362,1,5,2,0,0,0
2023-05-03,164.91,Apple,-0.0065,0.7622901218174795,0.0,0,Apple market update,0.6931471805599453,17.99198796507739,2,5,2,0,0,0
2023-05-04,163.27,Apple,-0.0099,0.5788622872123724,0.0,1,Apple market update,0.6931471805599453,18.212861683029736,3,5,2,0,0,0
2023-05-05,170.93,Apple,0.0469,0.8519643675899414,0.0,0,Apple market update,0.6931471805599453,18.546900983864806,4,5,2,0,1,0
2023-05-08,170.86,Apple,-0.0004,-1.76743700046808,0.0,0,Apple market update,0.6931471805599453,17.840197760118635,0,5,2,1,0,0
2023-05-09,169.16,Apple,-0.01,-0.5427102114283452,0.0,1,Apple market update,0.6931471805599453,17.629411255259036,1,5,2,0,0,0
2023-05-10,170.92,Apple,0.0104,0.4529477413555116,0.0,1,Apple market update,0.6931471805599453,17.799379712408765,2,5,2,0,0,0
2023-05-11,171.11,Apple,0.0011,-0.19775783571816516,0.0,0,Apple market update,0.6931471805599453,17.717780173345137,3,5,2,0,0,0
2023-05-12,170.18,Apple,-0.0054,-0.20354843605545522,0.0,0,Apple market update,0.6931471805599453,17.63395011393082,4,5,2,0,1,0
2023-05-15,169.69,Apple,-0.0029,-0.5145786001181636,0.0,0,Apple market update,0.6931471805599453,17.43361075130475,0,5,2,1,0,0
2023-05-17,170.3,Apple,0.0036,0.8169644502051043,0.0,1,Apple market update,0.6931471805599453,17.87511875463329,2,5,2,0,0,0
2023-05-18,172.63,Apple,0.0137,0.3334636265334269,0.0,1,Apple market update,0.6931471805599453,17.997510332924836,3,5,2,0,0,0
2023-05-19,172.74,Apple,0.0006,-0.40719975304630457,0.0,0,Apple market update,0.6931471805599453,17.837454681674654,4,5,2,0,1,0
2023-05-22,171.79,Apple,-0.0055,-0.6402086712127787,-3.469446951953614e-18,0,Apple market update,0.6931471805599453,17.589900077246348,0,5,2,1,0,0
2023-05-23,169.19,Apple,-0.0152,0.4091368633423349,0.0,1,Apple market update,0.6931471805599453,17.742368992205932,1,5,2,0,0,0
2023-05-24,169.46,Apple,0.0016,-0.2920835761034208,0.0,1,Apple market update,0.6931471805599453,17.62535688505239,2,5,2,0,0,0
2023-05-25,170.6,Apple,0.0067,0.5682038154391545,0.0,1,Apple market update,0.6931471805599453,17.84190279642753,3,5,2,0,0,0
2023-05-26,173.0,Apple,0.0141,-0.039627505900927944,0.0,1,Apple market update,0.6931471805599453,17.819839252412972,4,5,2,0,1,0
2023-05-30,174.85,Apple,0.0107,0.07164102716320767,0.0,0,Apple market update,0.6931471805599453,17.840226350130205,1,5,2,0,0,0
2023-05-31,174.8,Apple,-0.0003,1.4076001446236523,0.0,1,Apple market update,0.6931471805599453,18.416926716400077,2,5,2,0,0,0
2023-06-01,177.6,Apple,0.016,-0.9568345487304192,0.0,1,Apple market update,0.6931471805599453,18.048192874974628,3,6,2,0,0,0
2023-06-02,178.45,Apple,0.0048,-0.26162831169509965,0.0,0,Apple market update,0.6931471805599453,17.942594957889163,4,6,2,0,1,0
2023-06-05,177.1,Apple,-0.0076,1.624648442995066,0.0,0,Apple market update,0.6931471805599453,18.61909299012766,0,6,2,1,0,0
2023-06-06,176.73,Apple,-0.0021,-1.5984165156620522,0.0,0,Apple market update,0.6931471805599453,17.9875628115222,1,6,2,0,0,0
2023-06-07,175.36,Apple,-0.0078,-0.10255162763075182,0.0,1,Apple market update,0.6931471805599453,17.941751011313396,2,6,2,0,0,0
2023-06-08,178.07,Apple,0.0155,-0.5404105245504198,0.0,1,Apple market update,0.6931471805599453,17.73182237328518,3,6,2,0,0,0
2023-06-09,178.46,Apple,0.0022,-0.05152461682582597,0.0,1,Apple market update,0.6931471805599453,17.705287974894997,4,6,2,0,1,0
2023-06-12,181.25,Apple,0.0156,0.28752118922777686,0.0,0,Apple market update,0.6931471805599453,17.809572449682747,0,6,2,1,0,0
2023-06-13,180.78,Apple,-0.0026,0.04981889079166927,0.0,1,Apple market update,0.6931471805599453,17.821553838900513,1,6,2,0,0,0
